"lokaal_ref","Lokaal_ref_kort","omschrijving"
ELL -01.67,-01.67,Technische ruimte
ELL -01.68,-01.68,Fotostudio
ELL -01.69,-01.69,Berging - rchief
ELL -01.71,-01.71,Prcticum - leslokl
ELL -01.72,-01.72,prcticum EM werkbnken
ELL 00.01,00.01,Onthl - studentendministrtie
ELL 00.02,00.02,Projectruimte
ELL 00.03,00.03,Projectruimte
ELL 00.04,00.04,Lbo Topo
ELL 00.05,00.05,Berging lbo Topo
ELL 00.06,00.06,VIP Vergderruimte
ELL 00.07,00.07,Refter studenten
ELL 00.08,00.08,Ontspnningsruimte
ELL 00.09,00.09,Projectlokl
ELL 00.10,00.10,Projectlokl
ELL 00.11,00.11,Projectlokl
ELL 00.12,00.12,Projectlokl
ELL 00.13,00.13,Projectlokl
ELL 00.14,00.14,Projectlokl
ELL 00.15,00.15,Projectlokl
ELL 00.16,00.16,EHBO lokl
ELL 00.17,00.17,Spreekcel
ELL 00.18,00.18,Spreekcel
ELL 00.40,00.40,Keuken
ELL 00.42,00.42,fws keuken
ELL 00.43,00.43,Koel & Vriesruimte
ELL 00.44,00.44,Berging keuken
ELL 00.45,00.45,Gng keuken
ELL 00.46,00.46,Berging studentenclub
ELL 00.47,00.47,fvl continers
ELL 00.48,00.48,Kleedkmer keuken
ELL 00.50,00.50,Ss toilet personeel
ELL 00.51,00.51,Toilet personeel dmes
ELL 00.53,00.53,Ss WC - Fietsenstlling
ELL 00.54,00.54,WC - Dmes
ELL 00.55,00.55,WC - Heren
ELL 00.56,00.56,Douches Heren
ELL 00.57,00.57,Douches Dmes
ELL 00.60,00.60,Fietsenstlling - studenten
ELL 00.61,00.61,Berging
ELL 00.62,00.62,Gs opslg
ELL 00.63,00.63,Dt (ptchlokl)
ELL 00.64,00.64,Berging Schoonmk
ELL 01.01,01.01,Lbo Elektriciteit
ELL 01.02,01.02,Lbo GDM 2
ELL 01.03,01.03,Lbo Netwerken
ELL 01.04,01.04,Lbo Mechtronic
ELL 01.05,01.05,Lbo Elektrische Mchines
ELL 01.06,01.06,Lbo ndrijftechnieken
ELL 01.07,01.07,Lbo Elektronic
ELL 01.08,01.08,uditorium 01.08 noord
ELL 01.09,01.09,Lbo Klimtistie
ELL 01.10,01.10,Prcticum onderhoud
ELL 01.11,01.11,Lbo Onderhoudsmetingen
ELL 01.12,01.12,Pompinstlltie EM
ELL 01.13,01.13,Lbo utomtistie 2
ELL 01.14,01.14,Lbo utomtistie 2
ELL 01.15,01.15,Lbo Proces 1
ELL 01.16,01.16,Lbo Energie 1
ELL 01.17,01.17,Lbo KNX
ELL 01.18,01.18,Leslokl - telier GDM 1
ELL 01.19,01.19,Lockerruimte
ELL 01.20,01.20,Leslokl - telier GDM 2
ELL 01.21,01.21,Leslokl - Lbo GDM 1
ELL 01.22,01.22,Leslokl - telier GDM 3
ELL 01.23,01.23,Berging GDM
ELL 01.50,01.50,Ss Toilet
ELL 01.51,01.51,Toilet Dmes
ELL 01.52,01.52,Toilet heren
ELL 01.60,01.60,Technische ruimte Zuid
ELL 01.61,01.61,Ss technische ruimte West
ELL 01.62,01.62,Technische ruimte west
ELL 01.63,01.63,Ss Klim lokl
ELL 01.64,01.64,Ss Stooklokl
ELL 01.65,01.65,Ss Stooklokl
ELL 01.66,01.66,Stooklokl
ELL 02.01,02.01,uditorium
ELL 02.02,02.02,Ss ul 02.03
ELL 02.03,02.03,uditorium
ELL 02.04,02.04,Ss ul 02.05
ELL 02.05,02.05,uditorium
ELL 02.06,02.06,Berging ICT
ELL 02.07,02.07,Serverroom
ELL 02.08,02.08,Kntoor ICT Helpdesk
ELL 02.09,02.09,Kntoor studiebegeleding
ELL 02.10,02.10,Open Leercentrum
ELL 02.11,02.11,Berging poets
ELL 02.50,02.50,Ss Toilet
ELL 02.51,02.51,Toilet Heren
ELL 02.52,02.52,Toilet Dmes
ELL 02.60,02.60,Technische ruimte
ELL 03.01,03.01,Lbo Integrle veiligheid
