"lokaal_ref","Lokaal_ref_kort","omschrijving"
ELL -01.67,-01.67,Technische ruimte
ELL -01.68,-01.68,Fotostudio
ELL -01.68A,-01.68A,Berging
ELL -01.69,-01.69,Berging - Archief
ELL -01.71,-01.71,Practicum - leslokaal
ELL -01.72A,-01.72A,practicum EM werkbanken
ELL -01.72B,-01.72B,practicum EM draaien & lassen
ELL -01.72C,-01.72C,practicum OT
ELL -01.G01,-01.G01,Gang kelder
ELL -01.L02,-01.L02,Sas lift
ELL -01.T05,-01.T05,trap Kelder - GLV
ELL 00.01,00.01,Onthaal - studentenadministratie
ELL 00.02,00.02,Projectruimte
ELL 00.03,00.03,Projectruimte
ELL 00.04,00.04,Labo Topo
ELL 00.05,00.05,Berging labo Topo
ELL 00.06,00.06,VIP Vergaderruimte
ELL 00.07,00.07,Refter studenten
ELL 00.08,00.08,Ontspanningsruimte
ELL 00.09,00.09,Projectlokaal
ELL 00.10,00.10,Projectlokaal
ELL 00.11,00.11,Projectlokaal
ELL 00.12,00.12,Projectlokaal
ELL 00.13,00.13,Projectlokaal
ELL 00.14,00.14,Projectlokaal
ELL 00.15,00.15,Projectlokaal
ELL 00.16,00.16,EHBO lokaal
ELL 00.17,00.17,Spreekcel
ELL 00.18,00.18,Spreekcel
ELL 00.40,00.40,Keuken
ELL 00.42,00.42,Afwas keuken
ELL 00.43,00.43,Koel & Vriesruimte
ELL 00.44,00.44,Berging keuken
ELL 00.45,00.45,Gang keuken
ELL 00.46,00.46,Berging studentenclub
ELL 00.47,00.47,Afval containers
ELL 00.48,00.48,Kleedkamer keuken
ELL 00.50,00.50,Sas toilet personeel
ELL 00.51,00.51,Toilet personeel dames
ELL 00.52A,00.52A,Toilet personeel heren urinoirs
ELL 00.52B,00.52B,Toilet personeel heren 
ELL 00.53,00.53,Sas WC - Fietsenstalling
ELL 00.54,00.54,WC - Dames
ELL 00.55,00.55,WC - Heren
ELL 00.56,00.56,Douches Heren
ELL 00.57,00.57,Douches Dames
ELL 00.60,00.60,Fietsenstalling - studenten
ELL 00.60A,00.60A,Fietsenstalling - personeel
ELL 00.61,00.61,Berging
ELL 00.62,00.62,Gas opslag
ELL 00.63,00.63,Data (patchlokaal)
ELL 00.64,00.64,Berging Schoonmaak
ELL 00.G01,00.G01,Inkomhal-zuid
ELL 00.G02,00.G02,Lounge
ELL 00.G03,00.G03,Inkomhal-Noord
ELL 00.T01,00.T01,Traphal 01 GLV - Oost
ELL 00.T02,00.T02,Traphal 02 GLV - Zuid
ELL 00.T03,00.T03,Traphal 03 GLV - Aula 01.08
ELL 00.T04,00.T04,Traphal 04 GLV Vluchttrap West
ELL 00.T05,00.T05,Traphal 05 GLV-Kelder
ELL 00.T06,00.T06,Traphal 06 GLV- Noord
ELL 00.T07,00.T07,Traphal 07 GLV Vluchttrap Oost
ELL 01.01,01.01,Labo Elektriciteit
ELL 01.02,01.02,Labo GDM 2
ELL 01.03,01.03,Labo Netwerken
ELL 01.04,01.04,Labo Mechatronica
ELL 01.05,01.05,Labo Elektrische Machines
ELL 01.06,01.06,Labo Aandrijftechnieken
ELL 01.07,01.07,Labo Elektronica
ELL 01.08/1,01.08/1,Auditorium 01.08 noord
ELL 01.08/2,01.08/2,Auditorium 01.08 centraal
ELL 01.08/3,01.08/3,Auditorium 01.08 zuid
ELL 01.09,01.09,Labo Klimatisatie
ELL 01.10,01.10,Practicum onderhoud
ELL 01.11,01.11,Labo Onderhoudsmetingen
ELL 01.12,01.12,Pompinstallatie EM
ELL 01.13,01.13,Labo Automatisatie 2
ELL 01.14,01.14,Labo Automatisatie 2
ELL 01.15,01.15,Labo Proces 1
ELL 01.16,01.16,Labo Energie 1
ELL 01.17,01.17,Labo KNX
ELL 01.18,01.18,Leslokaal - Atelier GDM 1
ELL 01.19,01.19,Lockerruimte
ELL 01.20,01.20,Leslokaal - Atelier GDM 2
ELL 01.21,01.21,Leslokaal - Labo GDM 1
